,name,works,prompt copy,,名前,作品,
1boy,arataki itto,genshin impact,"(1boy,arataki itto,genshin impact),",,あらたき一刀,原神インパクト,
1girl,arlecchino \(genshin impact\),genshin impact,"(1girl,arlecchino \(genshin impact\),genshin impact),",,アルレッキーノ \(原神インパクト\),原神インパクト,
1boy,azhdaha \(genshin impact\),genshin impact,"(1boy,azhdaha \(genshin impact\),genshin impact),",,アズダハ \(原神インパクト\),原神インパクト,
1boy,baizhu \(genshin impact\),genshin impact,"(1boy,baizhu \(genshin impact\),genshin impact),",,バイジュ \(原神インパクト\),原神インパクト,
1girl,barbara \(genshin impact\),genshin impact,"(1girl,barbara \(genshin impact\),genshin impact),",,バーバラ \(原神インパクト\),原神インパクト,
1girl,barbara \(summertime sparkle\) \(genshin impact\),genshin impact,"(1girl,barbara \(summertime sparkle\) \(genshin impact\),genshin impact),",,バーバラ \(サマータイム スパークル\) \(原神インパクト\),原神インパクト,
1boy,barbatos \(genshin impact\),genshin impact,"(1boy,barbatos \(genshin impact\),genshin impact),",,バルバトス \(原神\),原神インパクト,
1girl,baron bunny \(genshin impact\),genshin impact,"(1girl,baron bunny \(genshin impact\),genshin impact),",,バロンバニー \(原神インパクト\),原神インパクト,
1girl,beidou \(genshin impact\),genshin impact,"(1girl,beidou \(genshin impact\),genshin impact),",,北斗 \(原神インパクト\),原神インパクト,
1boy,bennett \(genshin impact\),genshin impact,"(1boy,bennett \(genshin impact\),genshin impact),",,ベネット \(原神インパクト\),原神インパクト,
1girl,bonanus \(genshin impact\),genshin impact,"(1girl,bonanus \(genshin impact\),genshin impact),",,ボーナス \(原神インパクト\),原神インパクト,
1girl,boo tao \(genshin impact\),genshin impact,"(1girl,boo tao \(genshin impact\),genshin impact),",,ブータオ \(原神インパクト\),原神インパクト,
1girl,candace \(genshin impact\),genshin impact,"(1girl,candace \(genshin impact\),genshin impact),",,キャンディス \(原神インパクト\),原神インパクト,
1boy,changsheng \(genshin impact\),genshin impact,"(1boy,changsheng \(genshin impact\),genshin impact),",,チャンシェン \(原神インパクト\),原神インパクト,
1girl,charlotte \(genshin impact\),genshin impact,"(1girl,charlotte \(genshin impact\),genshin impact),",,シャーロット \(原神インパクト\),原神インパクト,
1boy,chongyun \(genshin impact\),genshin impact,"(1boy,chongyun \(genshin impact\),genshin impact),",,チョンユン \(原神インパクト\),原神インパクト,
1girl,cicin mage \(genshin impact\),genshin impact,"(1girl,cicin mage \(genshin impact\),genshin impact),",,シシンメイジ \(原神インパクト\),原神インパクト,
1girl,clorinde \(genshin impact\),genshin impact,"(1girl,clorinde \(genshin impact\),genshin impact),",,クロリンデ \(原神インパクト\),原神インパクト,
1girl,clorinde \(genshin impact\),genshin impact,"(1girl,clorinde \(genshin impact\),genshin impact),",,クロリンデ \(原神インパクト\),原神インパクト,
1girl,cloud retainer \(genshin impact\),genshin impact,"(1girl,cloud retainer \(genshin impact\),genshin impact),",,雲のリテイナー \(原神インパクト\),原神インパクト,
1girl,cloud retainer \(genshin impact\),genshin impact,"(1girl,cloud retainer \(genshin impact\),genshin impact),",,雲のリテイナー \(原神インパクト\),原神インパクト,
1girl,collei \(genshin impact\),genshin impact,"(1girl,collei \(genshin impact\),genshin impact),",,コレイ \(原神\),原神インパクト,
1girl,columbina \(genshin impact\),genshin impact,"(1girl,columbina \(genshin impact\),genshin impact),",,コロンビーナ \(原神インパクト\),原神インパクト,
1girl,crystalfly \(genshin impact\),genshin impact,"(1girl,crystalfly \(genshin impact\),genshin impact),",,クリスタルフライ \(原神インパクト\),原神インパクト,
1girl,cuilein-anbar \(genshin impact\),genshin impact,"(1girl,cuilein-anbar \(genshin impact\),genshin impact),",,クイレイン・アンバー \(原神インパクト\),原神インパクト,
1boy,cyno \(genshin impact\),genshin impact,"(1boy,cyno \(genshin impact\),genshin impact),",,サイノ \(原神インパクト\),原神インパクト,
1boy,dainsleif \(genshin impact\),genshin impact,"(1boy,dainsleif \(genshin impact\),genshin impact),",,ダインスレイフ \(原神インパクト\),原神インパクト,
1girl,dehya \(genshin impact\),genshin impact,"(1girl,dehya \(genshin impact\),genshin impact),",,デヒャ \(原神インパクト\),原神インパクト,
1boy,diluc \(genshin impact\),genshin impact,"(1boy,diluc \(genshin impact\),genshin impact),",,ディルク \(原神インパクト\),原神インパクト,
1boy,diluc \(red dead of night\) \(genshin impact\),genshin impact,"(1boy,diluc \(red dead of night\) \(genshin impact\),genshin impact),",,ディルク \(レッド・デッド・オブ・ナイト\) \(原神インパクト\),原神インパクト,
1girl,diona \(genshin impact\),genshin impact,"(1girl,diona \(genshin impact\),genshin impact),",,ディオナ \(原神インパクト\),原神インパクト,
1girl,dodoco \(genshin impact\),genshin impact,"(1girl,dodoco \(genshin impact\),genshin impact),",,ドドコ\(原神\),原神インパクト,
1girl,dori \(genshin impact\),genshin impact,"(1girl,dori \(genshin impact\),genshin impact),",,ドリ \(原神\),原神インパクト,
1boy,dottore \(genshin impact\),genshin impact,"(1boy,dottore \(genshin impact\),genshin impact),",,どっとれ\(原神\),原神インパクト,
1boy,dvalin \(genshin impact\),genshin impact,"(1boy,dvalin \(genshin impact\),genshin impact),",,ドヴァリン \(原神インパクト\),原神インパクト,
1girl,eula \(genshin impact\),genshin impact,"(1girl,eula \(genshin impact\),genshin impact),",,eula \(原神インパクト\),原神インパクト,
1girl,faruzan \(genshin impact\),genshin impact,"(1girl,faruzan \(genshin impact\),genshin impact),",,ファルザン \(原神インパクト\),原神インパクト,
1girl,fischl \(ein immernachtstraum\) \(genshin impact\),genshin impact,"(1girl,fischl \(ein immernachtstraum\) \(genshin impact\),genshin impact),",,フィッシュル \(ein immernachtstraum\) \(原神インパクト\),原神インパクト,
1girl,fischl \(genshin impact\),genshin impact,"(1girl,fischl \(genshin impact\),genshin impact),",,フィッシュル \(原神インパクト\),原神インパクト,
1girl,focalors \(genshin impact\),genshin impact,"(1girl,focalors \(genshin impact\),genshin impact),",,フォーカラー \(原神インパクト\),原神インパクト,
1boy,freminet \(genshin impact\),genshin impact,"(1boy,freminet \(genshin impact\),genshin impact),",,フレミネット \(原神インパクト\),原神インパクト,
1girl,fungi \(genshin impact\),genshin impact,"(1girl,fungi \(genshin impact\),genshin impact),",,菌類 \(原神インパクト\),原神インパクト,
1girl,furina \(genshin impact\),genshin impact,"(1girl,furina \(genshin impact\),genshin impact),",,フリナ \(原神\),原神インパクト,
1girl,furina \(genshin impact\),genshin impact,"(1girl,furina \(genshin impact\),genshin impact),",,フリナ \(原神\),原神インパクト,
1girl,ganyu \(china merchants bank\) \(genshin impact\),genshin impact,"(1girl,ganyu \(china merchants bank\) \(genshin impact\),genshin impact),",,ガンユ \(中国商人銀行\) \(原神インパクト\),原神インパクト,
1girl,ganyu \(genshin impact\),genshin impact,"(1girl,ganyu \(genshin impact\),genshin impact),",,ガニュ \(原神インパクト\),原神インパクト,
1girl,ganyu \(genshin impact\),genshin impact,"(1girl,ganyu \(genshin impact\),genshin impact),",,ガニュ \(原神インパクト\),原神インパクト,
1boy,gorou \(genshin impact\),genshin impact,"(1boy,gorou \(genshin impact\),genshin impact),",,ゴロウ \(原神\),原神インパクト,
1girl,guizhong \(genshin impact\),genshin impact,"(1girl,guizhong \(genshin impact\),genshin impact),",,桂中 \(原神インパクト\),原神インパクト,
1girl,guoba \(genshin impact\),genshin impact,"(1girl,guoba \(genshin impact\),genshin impact),",,グオバ \(原神インパクト\),原神インパクト,
1girl,hilichurl \(genshin impact\),genshin impact,"(1girl,hilichurl \(genshin impact\),genshin impact),",,ヒリチャール \(原神インパクト\),原神インパクト,
1girl,hina \(genshin impact\),genshin impact,"(1girl,hina \(genshin impact\),genshin impact),",,ヒナ \(原神\),原神インパクト,
1girl,hu tao \(genshin impact\),genshin impact,"(1girl,hu tao \(genshin impact\),genshin impact),",,フータオ \(原神インパクト\),原神インパクト,
1girl,hu tao \(genshin impact\),genshin impact,"(1girl,hu tao \(genshin impact\),genshin impact),",,フータオ \(原神インパクト\),原神インパクト,
1girl,jean \(genshin impact\),genshin impact,"(1girl,jean \(genshin impact\),genshin impact),",,ジャン \(原神\),原神インパクト,
1girl,jean \(gunnhildr's legacy\) \(genshin impact\),genshin impact,"(1girl,jean \(gunnhildr's legacy\) \(genshin impact\),genshin impact),",,ジャン \(グンヒルの遺産\) \(原神インパクト\),原神インパクト,
1girl,jean \(sea breeze dandelion\) \(genshin impact\),genshin impact,"(1girl,jean \(sea breeze dandelion\) \(genshin impact\),genshin impact),",,ジャン \(潮風タンポポ\) \(原神インパクト\),原神インパクト,
1girl,jumpy dumpty,genshin impact,"(1girl,jumpy dumpty,genshin impact),",,飛び跳ねるダンプティ,原神インパクト,
1boy,kaedehara kazuha,genshin impact,"(1boy,kaedehara kazuha,genshin impact),",,楓原和葉,原神インパクト,
1boy,kaeya \(genshin impact\),genshin impact,"(1boy,kaeya \(genshin impact\),genshin impact),",,カエヤ \(原神\),原神インパクト,
1girl,kamisato ayaka,genshin impact,"(1girl,kamisato ayaka,genshin impact),",,神里彩花,原神インパクト,
1girl,kamisato ayaka \(heytea\),genshin impact,"(1girl,kamisato ayaka \(heytea\),genshin impact),",,神里彩花 \(heytea\),原神インパクト,
1girl,kamisato ayaka \(springbloom missive\),genshin impact,"(1girl,kamisato ayaka \(springbloom missive\),genshin impact),",,神里彩花 \(春の花の手紙\),原神インパクト,
1boy,kamisato ayato,genshin impact,"(1boy,kamisato ayato,genshin impact),",,神里アヤト,原神インパクト,
1boy,kaveh \(genshin impact\),genshin impact,"(1boy,kaveh \(genshin impact\),genshin impact),",,カヴェ \(原神インパクト\),原神インパクト,
1boy,kazuha's friend \(genshin impact\),genshin impact,"(1boy,kazuha's friend \(genshin impact\),genshin impact),",,カズハの友達\(原神\),原神インパクト,
1girl,keqing \(genshin impact\),genshin impact,"(1girl,keqing \(genshin impact\),genshin impact),",,ケチン \(原神インパクト\),原神インパクト,
1girl,keqing \(lantern rite\) \(genshin impact\),genshin impact,"(1girl,keqing \(lantern rite\) \(genshin impact\),genshin impact),",,克清 \(灯籠の儀式\) \(原神インパクト\),原神インパクト,
1girl,keqing \(opulent splendor\) \(genshin impact\),genshin impact,"(1girl,keqing \(opulent splendor\) \(genshin impact\),genshin impact),",,克清 \(贅沢な素晴らしさ\) \(原神インパクト\),原神インパクト,
1girl,kirara \(genshin impact\),genshin impact,"(1girl,kirara \(genshin impact\),genshin impact),",,きらら\(原神\),原神インパクト,
1girl,klee \(blossoming starlight\) \(genshin impact\),genshin impact,"(1girl,klee \(blossoming starlight\) \(genshin impact\),genshin impact),",,クレー \(ブロッサム スターライト\) \(原神インパクト\),原神インパクト,
1girl,klee \(genshin impact\),genshin impact,"(1girl,klee \(genshin impact\),genshin impact),",,クレー \(原神インパクト\),原神インパクト,
1girl,kujou sara,genshin impact,"(1girl,kujou sara,genshin impact),",,九条さら,原神インパクト,
1girl,kuki shinobu,genshin impact,"(1girl,kuki shinobu,genshin impact),",,九鬼しのぶ,原神インパクト,
1girl,layla \(genshin impact\),genshin impact,"(1girl,layla \(genshin impact\),genshin impact),",,レイラ \(原神インパクト\),原神インパクト,
1girl,lisa \(a sobriquet under shade\) \(genshin impact\),genshin impact,"(1girl,lisa \(a sobriquet under shade\) \(genshin impact\),genshin impact),",,リサ \(日陰のソブリケット\) \(原神インパクト\),原神インパクト,
1girl,lisa \(genshin impact\),genshin impact,"(1girl,lisa \(genshin impact\),genshin impact),",,リサ\(原神\),原神インパクト,
1girl,lumine \(genshin impact\),genshin impact,"(1girl,lumine \(genshin impact\),genshin impact),",,ルミネ \(原神インパクト\),原神インパクト,
1girl,lumine \(genshin impact\),genshin impact,"(1girl,lumine \(genshin impact\),genshin impact),",,ルミネ \(原神インパクト\),原神インパクト,
1girl,lynette \(genshin impact\),genshin impact,"(1girl,lynette \(genshin impact\),genshin impact),",,リネット \(原神\),原神インパクト,
1boy,lyney \(genshin impact\),genshin impact,"(1boy,lyney \(genshin impact\),genshin impact),",,ライニー \(原神インパクト\),原神インパクト,
1girl,madame ping \(genshin impact\),genshin impact,"(1girl,madame ping \(genshin impact\),genshin impact),",,マダム・ピン \(原神インパクト\),原神インパクト,
1girl,makoto \(genshin impact\),genshin impact,"(1girl,makoto \(genshin impact\),genshin impact),",,マコト \(原神\),原神インパクト,
1girl,melusine \(genshin impact\),genshin impact,"(1girl,melusine \(genshin impact\),genshin impact),",,メリュシン \(原神インパクト\),原神インパクト,
1boy,mika \(genshin impact\),genshin impact,"(1boy,mika \(genshin impact\),genshin impact),",,ミカ \(原神\),原神インパクト,
1girl,mona \(genshin impact\),genshin impact,"(1girl,mona \(genshin impact\),genshin impact),",,モナ \(原神\),原神インパクト,
1girl,mona \(genshin impact\),genshin impact,"(1girl,mona \(genshin impact\),genshin impact),",,モナ \(原神\),原神インパクト,
1girl,mona \(pact of stars and moon\) \(genshin impact\),genshin impact,"(1girl,mona \(pact of stars and moon\) \(genshin impact\),genshin impact),",,モナ \(星と月の協定\) \(原神インパクト\),原神インパクト,
1girl,nahida \(genshin impact\),genshin impact,"(1girl,nahida \(genshin impact\),genshin impact),",,ナヒダ \(原神インパクト\),原神インパクト,
1boy,nameless bard \(genshin impact\),genshin impact,"(1boy,nameless bard \(genshin impact\),genshin impact),",,名も無き吟遊詩人\(原神\),原神インパクト,
1girl,navia \(genshin impact\),genshin impact,"(1girl,navia \(genshin impact\),genshin impact),",,ナビア \(原神\),原神インパクト,
1girl,navia \(genshin impact\),genshin impact,"(1girl,navia \(genshin impact\),genshin impact),",,ナビア \(原神\),原神インパクト,
1boy,neuvillette \(genshin impact\),genshin impact,"(1boy,neuvillette \(genshin impact\),genshin impact),",,ヌーヴィレット \(原神インパクト\),原神インパクト,
1girl,nilou \(genshin impact\),genshin impact,"(1girl,nilou \(genshin impact\),genshin impact),",,ニロウ \(原神インパクト\),原神インパクト,
1girl,ningguang \(genshin impact\),genshin impact,"(1girl,ningguang \(genshin impact\),genshin impact),",,寧光 \(原神インパクト\),原神インパクト,
1girl,ningguang \(orchid's evening gown\) \(genshin impact\),genshin impact,"(1girl,ningguang \(orchid's evening gown\) \(genshin impact\),genshin impact),",,寧光 \(蘭のイブニングドレス\) \(原神インパクト\),原神インパクト,
1girl,noelle \(genshin impact\),genshin impact,"(1girl,noelle \(genshin impact\),genshin impact),",,ノエル \(原神\),原神インパクト,
1girl,noelle \(kfc\) \(genshin impact\),genshin impact,"(1girl,noelle \(kfc\) \(genshin impact\),genshin impact),",,ノエル \(kfc\) \(原神インパクト\),原神インパクト,
1girl,oz \(genshin impact\),genshin impact,"(1girl,oz \(genshin impact\),genshin impact),",,oz \(原神インパクト\),原神インパクト,
1girl,paimon \(genshin impact\),genshin impact,"(1girl,paimon \(genshin impact\),genshin impact),",,パイモン\(原神\),原神インパクト,
1girl,paimon \(genshin impact\),genshin impact,"(1girl,paimon \(genshin impact\),genshin impact),",,パイモン\(原神\),原神インパクト,
1girl,qiqi \(genshin impact\),genshin impact,"(1girl,qiqi \(genshin impact\),genshin impact),",,qiqi \(原神インパクト\),原神インパクト,
1girl,raiden shogun,genshin impact,"(1girl,raiden shogun,genshin impact),",,雷電将軍,原神インパクト,
1girl,raiden shogun,genshin impact,"(1girl,raiden shogun,genshin impact),",,雷電将軍,原神インパクト,
1girl,raiden shogun \(magatsu mitake narukami no mikoto\),genshin impact,"(1girl,raiden shogun \(magatsu mitake narukami no mikoto\),genshin impact),",,雷電将軍（禍津御嶽鳴神命）,原神インパクト,
1boy,razor \(genshin impact\),genshin impact,"(1boy,razor \(genshin impact\),genshin impact),",,カミソリ \(原神インパクト\),原神インパクト,
1boy,rex lapis \(genshin impact\),genshin impact,"(1boy,rex lapis \(genshin impact\),genshin impact),",,レックス・ラピス \(原神インパクト\),原神インパクト,
1girl,rosaria \(genshin impact\),genshin impact,"(1girl,rosaria \(genshin impact\),genshin impact),",,ロザリア \(原神インパクト\),原神インパクト,
1boy,ruin guard \(genshin impact\),genshin impact,"(1boy,ruin guard \(genshin impact\),genshin impact),",,遺跡ガード \(原神インパクト\),原神インパクト,
1girl,rukkhadevata \(genshin impact\),genshin impact,"(1girl,rukkhadevata \(genshin impact\),genshin impact),",,ルッカデーヴァタ \(原神インパクト\),原神インパクト,
1girl,sakura ayane,genshin impact,"(1girl,sakura ayane,genshin impact),",,佐倉綾音,原神インパクト,
1girl,sangonomiya kokomi,genshin impact,"(1girl,sangonomiya kokomi,genshin impact),",,三五宮ここみ,原神インパクト,
1girl,sayu \(genshin impact\),genshin impact,"(1girl,sayu \(genshin impact\),genshin impact),",,さゆ \(原神\),原神インパクト,
1boy,scaramouche \(cat\) \(genshin impact\),genshin impact,"(1boy,scaramouche \(cat\) \(genshin impact\),genshin impact),",,スカラムーシュ \(猫\) \(原神インパクト\),原神インパクト,
1boy,scaramouche \(genshin impact\),genshin impact,"(1boy,scaramouche \(genshin impact\),genshin impact),",,スカラムーシュ \(原神インパクト\),原神インパクト,
1boy,scaramouche \(kabukimono\) \(genshin impact\),genshin impact,"(1boy,scaramouche \(kabukimono\) \(genshin impact\),genshin impact),",,スカラムーシュ \(カブキモノ\) \(原神インパクト\),原神インパクト,
1boy,seelie \(genshin impact\),genshin impact,"(1boy,seelie \(genshin impact\),genshin impact),",,シーリー \(原神インパクト\),原神インパクト,
1girl,shenhe \(genshin impact\),genshin impact,"(1girl,shenhe \(genshin impact\),genshin impact),",,シェンヘ \(原神インパクト\),原神インパクト,
1girl,shenhe \(genshin impact\),genshin impact,"(1girl,shenhe \(genshin impact\),genshin impact),",,シェンヘ \(原神インパクト\),原神インパクト,
1boy,shikanoin heizou,genshin impact,"(1boy,shikanoin heizou,genshin impact),",,鹿野院平蔵,原神インパクト,
1girl,sigewinne \(genshin impact\),genshin impact,"(1girl,sigewinne \(genshin impact\),genshin impact),",,シゲウィン \(原神インパクト\),原神インパクト,
1girl,signora \(genshin impact\),genshin impact,"(1girl,signora \(genshin impact\),genshin impact),",,シニョーラ \(原神インパクト\),原神インパクト,
1girl,skirk \(genshin impact\),genshin impact,"(1girl,skirk \(genshin impact\),genshin impact),",,スカーク \(原神インパクト\),原神インパクト,
1girl,slime \(genshin impact\),genshin impact,"(1girl,slime \(genshin impact\),genshin impact),",,スライム\(原神\),原神インパクト,
1girl,sucrose \(genshin impact\),genshin impact,"(1girl,sucrose \(genshin impact\),genshin impact),",,スクロース \(原神インパクト\),原神インパクト,
1boy,taroumaru \(genshin impact\),genshin impact,"(1boy,taroumaru \(genshin impact\),genshin impact),",,太郎丸 \(原神\),原神インパクト,
1boy,tartaglia \(genshin impact\),genshin impact,"(1boy,tartaglia \(genshin impact\),genshin impact),",,タルターリア \(原神インパクト\),原神インパクト,
1boy,thoma \(genshin impact\),genshin impact,"(1boy,thoma \(genshin impact\),genshin impact),",,トーマ \(原神インパクト\),原神インパクト,
1boy,tighnari \(genshin impact\),genshin impact,"(1boy,tighnari \(genshin impact\),genshin impact),",,ティグナリ \(原神インパクト\),原神インパクト,
1boy,venti \(archon\) \(genshin impact\),genshin impact,"(1boy,venti \(archon\) \(genshin impact\),genshin impact),",,ベンティ \(アルコン\) \(原神インパクト\),原神インパクト,
1boy,venti \(genshin impact\),genshin impact,"(1boy,venti \(genshin impact\),genshin impact),",,ベンティ \(原神インパクト\),原神インパクト,
1boy,wanderer \(genshin impact\),genshin impact,"(1boy,wanderer \(genshin impact\),genshin impact),",,放浪者\(原神\),原神インパクト,
1boy,wriothesley \(genshin impact\),genshin impact,"(1boy,wriothesley \(genshin impact\),genshin impact),",,ライオセスリー \(原神インパクト\),原神インパクト,
1girl,xiangling \(genshin impact\),genshin impact,"(1girl,xiangling \(genshin impact\),genshin impact),",,シャンリン \(原神インパクト\),原神インパクト,
1girl,xianyun \(genshin impact\),genshin impact,"(1girl,xianyun \(genshin impact\),genshin impact),",,Xianyun \(原神インパクト\),原神インパクト,
1boy,xiao \(genshin impact\),genshin impact,"(1boy,xiao \(genshin impact\),genshin impact),",,シャオ \(原神インパクト\),原神インパクト,
1boy,xingqiu \(genshin impact\),genshin impact,"(1boy,xingqiu \(genshin impact\),genshin impact),",,星丘 \(原神インパクト\),原神インパクト,
1girl,xinyan \(genshin impact\),genshin impact,"(1girl,xinyan \(genshin impact\),genshin impact),",,しんやん \(原神インパクト\),原神インパクト,
1girl,yae miko,genshin impact,"(1girl,yae miko,genshin impact),",,八重巫女,原神インパクト,
1girl,yae miko \(fox\),genshin impact,"(1girl,yae miko \(fox\),genshin impact),",,ヤエミコ\(キツネ\),原神インパクト,
1girl,yanfei \(genshin impact\),genshin impact,"(1girl,yanfei \(genshin impact\),genshin impact),",,ヤンフェイ \(原神インパクト\),原神インパクト,
1girl,yaoyao \(genshin impact\),genshin impact,"(1girl,yaoyao \(genshin impact\),genshin impact),",,ヤオヤオ \(原神インパクト\),原神インパクト,
1girl,yelan \(genshin impact\),genshin impact,"(1girl,yelan \(genshin impact\),genshin impact),",,イェラン \(原神インパクト\),原神インパクト,
1girl,yoimiya \(genshin impact\),genshin impact,"(1girl,yoimiya \(genshin impact\),genshin impact),",,宵宮 \(原神インパクト\),原神インパクト,
1girl,yuegui \(genshin impact\),genshin impact,"(1girl,yuegui \(genshin impact\),genshin impact),",,ユエグイ \(原神インパクト\),原神インパクト,
1girl,yun jin \(genshin impact\),genshin impact,"(1girl,yun jin \(genshin impact\),genshin impact),",,ユン ジン \(原神インパクト\),原神インパクト,
1boy,zhongli \(archon\) \(genshin impact\),genshin impact,"(1boy,zhongli \(archon\) \(genshin impact\),genshin impact),",,中離 \(アルコン\) \(原神インパクト\),原神インパクト,
1boy,zhongli \(genshin impact\),genshin impact,"(1boy,zhongli \(genshin impact\),genshin impact),",,中離 \(原神インパクト\),原神インパクト,
1girl,komi shouko,komi-san wa komyushou desu,"(1girl,komi shouko,komi-san wa komyushou desu),",,こみしょうこ,古見さんはコミュ症です,
1girl,komi shuuko,komi-san wa komyushou desu,"(1girl,komi shuuko,komi-san wa komyushou desu),",,古味周子,古見さんはコミュ症です,
1other,osana najimi \(komi-san wa komyushou desu\),komi-san wa komyushou desu,"(1other,osana najimi \(komi-san wa komyushou desu\),komi-san wa komyushou desu),",,おさななじみ \(古見さんはこみゅしょうです\),古見さんはコミュ症です,
1boy,tadano hitohito,komi-san wa komyushou desu,"(1boy,tadano hitohito,komi-san wa komyushou desu),",,只野仁人,古見さんはコミュ症です,
1girl,nakano ichika,go-toubun no hanayome,"(1girl,nakano ichika,go-toubun no hanayome),",,中野一花,五等分の花嫁,
1girl,nakano itsuki,go-toubun no hanayome,"(1girl,nakano itsuki,go-toubun no hanayome),",,中野樹,五等分の花嫁,
1girl,nakano miku,go-toubun no hanayome,"(1girl,nakano miku,go-toubun no hanayome),",,中野ミク,五等分の花嫁,
1girl,nakano nino,go-toubun no hanayome,"(1girl,nakano nino,go-toubun no hanayome),",,中野二乃,五等分の花嫁,
1girl,nakano yotsuba,go-toubun no hanayome,"(1girl,nakano yotsuba,go-toubun no hanayome),",,中野四葉,五等分の花嫁,
1boy,uesugi fuutarou,go-toubun no hanayome,"(1boy,uesugi fuutarou,go-toubun no hanayome),",,上杉風太郎,五等分の花嫁,
1girl,asia argento,high school dxd,"(1girl,asia argento,high school dxd),",,アジア・アルジェント,高校DXD,
1girl,grayfia lucifuge,high school dxd,"(1girl,grayfia lucifuge,high school dxd),",,グレイフィア・ルキフグス,高校DXD,
1girl,himejima akeno,high school dxd,"(1girl,himejima akeno,high school dxd),",,姫島朱乃,高校DXD,
1boy,hyoudou issei,high school dxd,"(1boy,hyoudou issei,high school dxd),",,兵藤一誠,高校DXD,
1girl,kuroka \(high school dxd\),high school dxd,"(1girl,kuroka \(high school dxd\),high school dxd),",,クロカ \(ハイスクールD×D\),高校DXD,
1girl,ravel phenex,high school dxd,"(1girl,ravel phenex,high school dxd),",,ラヴェル・フェネクス,高校DXD,
1girl,raynare,high school dxd,"(1girl,raynare,high school dxd),",,レイナーレ,高校DXD,
1girl,rias gremory,high school dxd,"(1girl,rias gremory,high school dxd),",,リアス・グレモリー,高校DXD,
1girl,rossweisse,high school dxd,"(1girl,rossweisse,high school dxd),",,ロスヴァイセ,高校DXD,
1girl,serafall leviathan,high school dxd,"(1girl,serafall leviathan,high school dxd),",,セラフォールリヴァイアサン,高校DXD,
1girl,shidou irina,high school dxd,"(1girl,shidou irina,high school dxd),",,紫藤イリナ,高校DXD,
1girl,shinra tsubaki,high school dxd,"(1girl,shinra tsubaki,high school dxd),",,森羅椿,高校DXD,
1girl,toujou koneko,high school dxd,"(1girl,toujou koneko,high school dxd),",,東條小猫,高校DXD,
1girl,xenovia quarta,high school dxd,"(1girl,xenovia quarta,high school dxd),",,ゼノヴィア・クアルタ,高校DXD,
1boy,akashi seijuurou,kuroko no basuke,"(1boy,akashi seijuurou,kuroko no basuke),",,赤司征十郎,黒子のバスケ,
1boy,aomine daiki,kuroko no basuke,"(1boy,aomine daiki,kuroko no basuke),",,青峰大輝,黒子のバスケ,
1boy,kagami taiga,kuroko no basuke,"(1boy,kagami taiga,kuroko no basuke),",,火神大我,黒子のバスケ,
1boy,kise ryouta,kuroko no basuke,"(1boy,kise ryouta,kuroko no basuke),",,黄瀬涼太,黒子のバスケ,
1boy,kuroko tetsuya,kuroko no basuke,"(1boy,kuroko tetsuya,kuroko no basuke),",,黒子テツヤ,黒子のバスケ,
1boy,midorima shintarou,kuroko no basuke,"(1boy,midorima shintarou,kuroko no basuke),",,緑間真太郎,黒子のバスケ,
1girl,momoi satsuki,kuroko no basuke,"(1girl,momoi satsuki,kuroko no basuke),",,桃井さつき,黒子のバスケ,
1boy,murasakibara atsushi,kuroko no basuke,"(1boy,murasakibara atsushi,kuroko no basuke),",,紫原淳,黒子のバスケ,
1girl,black lilith \(last origin\),last origin,"(1girl,black lilith \(last origin\),last origin),",,ブラックリリス \(ラストオリジン\),最後の起源,
1girl,boryeon \(last origin\),last origin,"(1girl,boryeon \(last origin\),last origin),",,ボヨン \(最後の起源\),最後の起源,
1girl,cerberus \(last origin\),last origin,"(1girl,cerberus \(last origin\),last origin),",,ケルベロス \(ラストオリジン\),最後の起源,
1girl,cerestia of life,last origin,"(1girl,cerestia of life,last origin),",,生命のセレスティア,最後の起源,
1boy,commander \(last origin\),last origin,"(1boy,commander \(last origin\),last origin),",,指揮官 \(ラストオリジン\),最後の起源,
1girl,dark elven forest ranger,last origin,"(1girl,dark elven forest ranger,last origin),",,ダークエルフの森のレンジャー,最後の起源,
1girl,draculina \(last origin\),last origin,"(1girl,draculina \(last origin\),last origin),",,ドラキュリナ \(ラストオリジン\),最後の起源,
1girl,elven forest maker,last origin,"(1girl,elven forest maker,last origin),",,エルフの森の作り手,最後の起源,
1girl,fenrir \(last origin\),last origin,"(1girl,fenrir \(last origin\),last origin),",,フェンリル \(ラストオリジン\),最後の起源,
1girl,fortune \(last origin\),last origin,"(1girl,fortune \(last origin\),last origin),",,フォーチュン \(最後の起源\),最後の起源,
1girl,hachiko of castling,last origin,"(1girl,hachiko of castling,last origin),",,城のハチ公,最後の起源,
1girl,hirume of heavenly incense,last origin,"(1girl,hirume of heavenly incense,last origin),",,天香のヒルメ,最後の起源,
1girl,hongryeon \(last origin\),last origin,"(1girl,hongryeon \(last origin\),last origin),",,ホンリョン \(ラストオリジン\),最後の起源,
1girl,invincible dragon \(last origin\),last origin,"(1girl,invincible dragon \(last origin\),last origin),",,無敵のドラゴン \(ラストオリジン\),最後の起源,
1girl,leprechaun \(last origin\),last origin,"(1girl,leprechaun \(last origin\),last origin),",,レプラコーン \(最後の起源\),最後の起源,
1girl,lrl \(last origin\),last origin,"(1girl,lrl \(last origin\),last origin),",,lrl \(最後の原点\),最後の起源,
